대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
그룹명 없음,대여소명 없음,2015-09-19,0
마포구,101. (구)합정동 주민센터,2015-09-19,5
마포구,102. 망원역 1번출구 앞,2015-09-19,13
마포구,103. 망원역 2번출구 앞,2015-09-19,18
마포구,104. 합정역 1번출구 앞,2015-09-19,11
마포구,105. 합정역 5번출구 앞,2015-09-19,15
마포구,106. 합정역 7번출구 앞,2015-09-19,15
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-19,4
마포구,108. 서교동 사거리,2015-09-19,13
마포구,111. 상수역 2번출구 앞,2015-09-19,21
마포구,112. 극동방송국 앞,2015-09-19,17
마포구,113. 홍대입구역 2번출구 앞,2015-09-19,30
마포구,114. 홍대입구역 8번출구 앞,2015-09-19,12
마포구,118. 광흥창역 2번출구 앞,2015-09-19,10
마포구,119. 서강나루 공원,2015-09-19,9
마포구,120. 신수동 사거리,2015-09-19,2
마포구,121. 마포소방서 앞,2015-09-19,7
마포구,122. 신성기사식당 앞,2015-09-19,6
마포구,124. 서강대 정문 건너편,2015-09-19,15
마포구,125. 서강대 남문 옆,2015-09-19,14
마포구,126. 서강대 후문 옆,2015-09-19,27
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-19,13
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-19,5
마포구,136. 대흥동 주민센터,2015-09-19,3
서대문구,115. 사루비아 빌딩 앞,2015-09-19,12
서대문구,116. 일진아이윌아파트 옆,2015-09-19,7
서대문구,117. 홍은사거리,2015-09-19,2
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-19,3
서대문구,131. 증산2교,2015-09-19,5
서대문구,132. 창천문화공원,2015-09-19,9
서대문구,133. 해담는다리,2015-09-19,5
서대문구,135. 명물길 원형무대 앞,2015-09-19,6
서대문구,137. NH농협 신촌지점 앞,2015-09-19,10
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-19,10
서대문구,139. 연세대 정문 건너편,2015-09-19,5
서대문구,140. 이화여대 후문,2015-09-19,7
서대문구,141. 연대 대운동장 옆,2015-09-19,11
영등포구,200. 국회의원회관,2015-09-19,2
영등포구,201. 진미파라곤 앞,2015-09-19,11
영등포구,202. 국민일보 앞,2015-09-19,38
